text,tags,is_synth,university
@lleidenschaftt Hiç gitmedim de çok kötü duruyo ytü,0,0,YTU
@orientalmartyr @zoonpolitikion savunma sanayi firmasında staj yaptıgım donem ytulu makinacı ağabey keşke doğuda tıp okusaydımda ytü yazmasaydım diyodu,0,0,YTU
Ytü eski kütüphane şuan goated durumdaymış gibi bir duyum aldım,1,0,YTU
yarın ytü kütüphane olacagim ins tavani cökmez,0,0,YTU
1A'daki tadilatı bitirin de kütüphaneye gerçekten ders çalışmaya gelenler çalışabilsin @METU_ODTU,0,0,ODTU
"Uzun zaman sonra ODTÜ'ye gittim ve güvenlik kaydımı yaptı. Bu ay bir daha giriş yapamayacaksınız dedi‼️ Niye diye sorduğumda artık mezunların araçla ayda bir girme hakkı olduğunu, daha fazla giriş için 9000 TL aidat ödemem gerektiği söylendi. Tek kelimeyle SAÇMALIK‼️ https://t.co/jRXzllaFWV",0,0,ODTU
"odtü, boun, itü, koç ve sabancı harici bir üniversitede okuyorsanız kendinizi kanıtlamak ve göstermek için daha fazla çabalamalısınız. ne kadar berbat olsa da kendini pazarlamak çok önemli ve teknik kabiliyetten çok daha değerli",1,0,ITU
@LAB_Comics Yok hiçbir itü ürünü tüketmiyorum teşekkürler,0,0,ITU
itü 6. hafta 3 vize işi beni yordu babacım https://t.co/6Ml9MSmTHN,0,0,ITU
"Gölet yurdunda köprüyü gören bir seyir yeri vardı rüyamda gece vakti tam orada oturuyordum, özledim be itü seni de özledim yurt hayatı",1,0,ITU
"son 2 senedir en iyi geçen sınavımın sabahı hacettepe, amk kampüsüyle aram çok garip sevmekle nefret etme arasında sürekli bir gitgeldeyim bir de tek başıma tadı daha ayrı. amk okulu seviyom seni https://t.co/1I0rfRkpP1",1,0,HACETTEPE
"Ablam Ankara'da diye Hacettepe'yi daha çok düşündüm. Eğitim olarak da Hacettepe daha iyi olur gibi gelmişti. Evet baya zor, yorucu. Ama memnunum eğitimden. https://t.co/vQdL0qMxco",1,0,HACETTEPE
@solcugazete60 Marmara Üniversitesi çok kötü durumda,0,0,MARMARA
Hem Gazi Üniversitesi mezunu hem de Dokuz Eylül Üniversitesi mezunu olmaktan gurur ve onur duyarım. 👊✊💪,1,0,GAZI
"Bugün Gazi Üniversitesi Tıp Fakültesi Dekanlık binasına giriş ve çıkışlarda, tıp fakültesi öğrencileri büyük bir nezaketle  önde olmalarına rağmen kapıyı tutarak, bize yol verdiler. Kapıyı yüzümüze çarpMAdılar. Genç tıbbiyelilerden umutluyum gururluyum. @GaziTIP @Gazi_Universite",1,0,GAZI
"📍Dokuz Eylül Üniversitesi Rektörlüğü 

Hesap vermekten korkan kayyum rektör, basın açıklamamızı önlemek için rektörlük önüne çevik barikatı yığdı! 

Kayyumlar gidecek biz kalacağız!Üniversitenin gerçek özneleri üniversiteleri özgürleştirecek! 

ÜNİVERSİTELER BİZİMDİR, BİZİMLE ÖZGÜRLEŞECEK!",0,0,DEU
"@RTErdogan Allah Razı olsun DEÜ Kütüphane çalışanı olarak RABBİM Hizmetlerinizi Daim etsin, Her Yaptığınız Haryolsun, Meyvelerinin Taşlanmasın, taşlayan eller kırılsın.",1,0,DEU
kötü yemek yarışmasındasın ama rakibin istanbul üni yemekhanesi https://t.co/QQ8XNucskE,0,0,ISTANBUL_UNI
👏👏👏 gurur duyuyoruz istanbul üniversitesi mezunuyuz demeye,1,0,ISTANBUL_UNI
