type,url,tags,text,createdAt,location,authorUserName,university
tweet,https://x.com/denizcosta96/status/1985689933852647934,0,@lleidenschaftt Hiç gitmedim de çok kötü duruyo ytü,Tue Nov 04 12:45:47 +0000 2025,,denizcosta96,YTU
tweet,https://x.com/huntsmanlll/status/1987156151520407911,0,@orientalmartyr @zoonpolitikion savunma sanayi firmasında staj yaptıgım donem ytulu makinacı ağabey keşke doğuda tıp okusaydımda ytü yazmasaydım diyodu,Sat Nov 08 13:52:00 +0000 2025,,huntsmanlll,YTU
tweet,https://x.com/dacikgocuk32/status/1987153167495135705,1,Ytü eski kütüphane şuan goated durumdaymış gibi bir duyum aldım,Sat Nov 08 13:40:09 +0000 2025,,dacikgocuk32,YTU
tweet,https://x.com/9smajlovic/status/1986507816949960992,0,yarın ytü kütüphane olacagim ins tavani cökmez,Thu Nov 06 18:55:45 +0000 2025,boun      20,9smajlovic,YTU
tweet,https://x.com/bugrahanyldrmm/status/1986787950370209825,0,1A'daki tadilatı bitirin de kütüphaneye gerçekten ders çalışmaya gelenler çalışabilsin @METU_ODTU,Fri Nov 07 13:28:54 +0000 2025,odtü,bugrahanyldrmm,ODTU
tweet,https://x.com/eray_gonenli/status/1987127316951208131,0,"Uzun zaman sonra ODTÜ'ye gittim ve güvenlik kaydımı yaptı. Bu ay bir daha giriş yapamayacaksınız dedi‼️ Niye diye sorduğumda artık mezunların araçla ayda bir girme hakkı olduğunu, daha fazla giriş için 9000 TL aidat ödemem gerektiği söylendi. Tek kelimeyle SAÇMALIK‼️ https://t.co/jRXzllaFWV",Sat Nov 08 11:57:26 +0000 2025,"Eskişehir, Türkiye",eray_gonenli,ODTU
tweet,https://x.com/tunalienjoyer/status/1986007850230087949,1,"odtü, boun, itü, koç ve sabancı harici bir üniversitede okuyorsanız kendinizi kanıtlamak ve göstermek için daha fazla çabalamalısınız. ne kadar berbat olsa da kendini pazarlamak çok önemli ve teknik kabiliyetten çok daha değerli",Wed Nov 05 09:49:04 +0000 2025,ankara,tunalienjoyer,ITU
tweet,https://x.com/SnorriTurkic/status/1986675592163696851,0,@LAB_Comics Yok hiçbir itü ürünü tüketmiyorum teşekkürler,Fri Nov 07 06:02:26 +0000 2025,Miðgarðar,SnorriTurkic,ITU
tweet,https://x.com/Bjorn_Ironnside/status/1986813685554118829,0,itü 6. hafta 3 vize işi beni yordu babacım https://t.co/6Ml9MSmTHN,Fri Nov 07 15:11:10 +0000 2025,itü,Bjorn_Ironnside,ITU
tweet,https://x.com/duygupalabiyik/status/1986670050296672734,1,"Gölet yurdunda köprüyü gören bir seyir yeri vardı rüyamda gece vakti tam orada oturuyordum, özledim be itü seni de özledim yurt hayatı",Fri Nov 07 05:40:25 +0000 2025,"İstanbul, Türkiye",duygupalabiyik,ITU
tweet,https://x.com/notworthitutku/status/1987124432008081693,1,"son 2 senedir en iyi geçen sınavımın sabahı hacettepe, amk kampüsüyle aram çok garip sevmekle nefret etme arasında sürekli bir gitgeldeyim bir de tek başıma tadı daha ayrı. amk okulu seviyom seni https://t.co/1I0rfRkpP1",Sat Nov 08 11:45:58 +0000 2025,,notworthitutku,HACETTEPE
tweet,https://x.com/sobottasever/status/1986096985590435847,1,"Ablam Ankara'da diye Hacettepe'yi daha çok düşündüm. Eğitim olarak da Hacettepe daha iyi olur gibi gelmişti. Evet baya zor, yorucu. Ama memnunum eğitimden. https://t.co/vQdL0qMxco",Wed Nov 05 15:43:15 +0000 2025,,sobottasever,HACETTEPE
tweet,https://x.com/alpozcvk/status/1986078169535812082,0,@solcugazete60 Marmara Üniversitesi çok kötü durumda,Wed Nov 05 14:28:29 +0000 2025,,alpozcvk,MARMARA
tweet,https://x.com/emresamur/status/1982451955302559844,1,Hem Gazi Üniversitesi mezunu hem de Dokuz Eylül Üniversitesi mezunu olmaktan gurur ve onur duyarım. 👊✊💪,Sun Oct 26 14:19:12 +0000 2025,"İzmir, Türkiye",emresamur,GAZI
tweet,https://x.com/kamilyazicioglu/status/1981090554805985370,1,"Bugün Gazi Üniversitesi Tıp Fakültesi Dekanlık binasına giriş ve çıkışlarda, tıp fakültesi öğrencileri büyük bir nezaketle  önde olmalarına rağmen kapıyı tutarak, bize yol verdiler. Kapıyı yüzümüze çarpMAdılar. Genç tıbbiyelilerden umutluyum gururluyum. @GaziTIP @Gazi_Universite",Wed Oct 22 20:09:29 +0000 2025,Atatürk Bulvarı No:185 Çankaya,kamilyazicioglu,GAZI
tweet,https://x.com/kolektifler6/status/1986488349733855677,0,"📍Dokuz Eylül Üniversitesi Rektörlüğü 

Hesap vermekten korkan kayyum rektör, basın açıklamamızı önlemek için rektörlük önüne çevik barikatı yığdı! 

Kayyumlar gidecek biz kalacağız!Üniversitenin gerçek özneleri üniversiteleri özgürleştirecek! 

ÜNİVERSİTELER BİZİMDİR, BİZİMLE ÖZGÜRLEŞECEK!",Thu Nov 06 17:38:24 +0000 2025,,kolektifler6,DEU
tweet,https://x.com/ODuzbast/status/1986458392802828762,1,"@RTErdogan Allah Razı olsun DEÜ Kütüphane çalışanı olarak RABBİM Hizmetlerinizi Daim etsin, Her Yaptığınız Haryolsun, Meyvelerinin Taşlanmasın, taşlayan eller kırılsın.",Thu Nov 06 15:39:22 +0000 2025,"İzmir, Türkiye",ODuzbast,DEU
tweet,https://x.com/senayyrm/status/1975498109317939359,0,kötü yemek yarışmasındasın ama rakibin istanbul üni yemekhanesi https://t.co/QQ8XNucskE,Tue Oct 07 09:47:06 +0000 2025,,senayyrm,ISTANBUL_UNI
